help | Shows the main menu
tor | Latest price of Torchain
torn | Latest price of Tornado Cash
tosc | Latest price of T.OS
ttm | Latest price of To The Moon
toc | Latest price of TouchCon
tret | Latest price of Tourist Review Token
tower | Latest price of Tower
tra | Latest price of Trabzonspor Fan Token
tac | Latest price of Traceability Chain
tbb | Latest price of Trade Butler Bot
tiox | Latest price of Trade Token X
twi | Latest price of Trade.win
tpc | Latest price of Trading Pool Coin
slice | Latest price of Tranche Finance
tns | Latest price of Transcodium
tx | Latest price of Transfercoin
xpb | Latest price of Transmute
trcb | Latest price of TRCB Chain
trnd | Latest price of Trendering
tzc | Latest price of TrezarCoin
tria | Latest price of Triaconta
try | Latest price of Trias [Old Token]
trias | Latest price of Trias Token
trbt | Latest price of Tribute
tri | Latest price of Trinity Protocol
trio | Latest price of Tripio
trtt | Latest price of Trittium
trix | Latest price of TriumphX
troll | Latest price of Trollcoin
trx | Latest price of TRON
trp | Latest price of Tronipay
troy | Latest price of Troy
trk | Latest price of Truckcoin
true | Latest price of TrueChain
tdp | Latest price of TrueDeck
tfb | Latest price of Truefeedback Token
tru | Latest price of TrueFi
tfl | Latest price of TrueFlip
tgame | Latest price of Truegame
tusd | Latest price of TrueUSD
trust | Latest price of TrustDAO
tln | Latest price of Trustlines Network
swap | Latest price of Trustswap
trv | Latest price of TrustVerse
twt | Latest price of Trust Wallet Token
tmn | Latest price of TranslateMe Network Token
maro | Latest price of Maro
tur | Latest price of Turret
trtl | Latest price of TurtleCoin
tuda | Latest price of Tutor's Diary
twee | Latest price of Tweebaa
tkt | Latest price of Twinkle
twist | Latest price of TWIST
ff1 | Latest price of Two Prime FF1 Token
txt | Latest price of TXT
type | Latest price of Typerium
phoon | Latest price of Typhoon Cash
ubex | Latest price of Ubex
ubq | Latest price of Ubiq
ubx | Latest price of UBIX Network
uca | Latest price of UCA Coin
ucash | Latest price of U.CASH
ucn | Latest price of UChain
u | Latest price of Ucoin
uct | Latest price of Ubique Chain of Things (UCOT)
ucx | Latest price of UCX
upx | Latest price of UDAP
ufo | Latest price of Uniform Fiscal Object
ugc | Latest price of ugChain
ut | Latest price of Ulord
usc | Latest price of Ultimate Secure Cash
uos | Latest price of Ultra
ugas | Latest price of Ultrain
uat | Latest price of UltrAlpha
uma | Latest price of UMA
umc | Latest price of Umbrella Coin
umb | Latest price of Umbrella Network
uuu | Latest price of U Network
ersdl | Latest price of UnFederalReserve
undb | Latest price of UniDexBot
ubt | Latest price of Unibright
uni | Latest price of UNICORN Token
unc | Latest price of UniCrypt (Old)
uncx | Latest price of UniCrypt
unidx | Latest price of UniDex
undg | Latest price of UniDexGas
unifi | Latest price of Covenants
up | Latest price of UniFi Protocol
unfi | Latest price of Unifi Protocol DAO
nif | Latest price of Unifty
ifund | Latest price of Unifund
unify | Latest price of Unify
graph | Latest price of UniGraph
ukg | Latest price of Unikoin Gold
layer | Latest price of UniLayer
umx | Latest price of UniMex Network
ufc | Latest price of Union Fair Coin
unn | Latest price of UNION Protocol Governance Token
power | Latest price of UniPower
foto | Latest price of Unique Photo
uco | Latest price of Uniris
unistake | Latest price of Unistake
usd | Latest price of unified Stable Dollar
ubtc | Latest price of United Bitcoin
utt | Latest price of United Traders Token
col | Latest price of Unit Protocol
trade | Latest price of Unitrade
uis | Latest price of Unitus
utnp | Latest price of Universa
unit | Latest price of Universal Currency
uenc | Latest price of UniversalEnergyChain
upeur | Latest price of Universal Euro
upt | Latest price of Universal Protocol Token
upusd | Latest price of Universal US Dollar
uwl | Latest price of UniWhales
uft | Latest price of UniLend Finance
uffyi | Latest price of Unlimited FiscusFYI
uip | Latest price of UnlimitedIP
uno | Latest price of Unobtanium
ubxt | Latest price of UpBots
ufr | Latest price of Upfiring
1up | Latest price of Uptrennd
uqc | Latest price of Uquid Coin
urac | Latest price of Uranus
urus | Latest price of Urus Token
usda | Latest price of USDA
usdc | Latest price of USD Coin
usdex | Latest price of USDEX
usdfl | Latest price of USDFreeLiquidity
usdk | Latest price of USDK
usdl | Latest price of USDL
usdq | Latest price of USDQ
use | Latest price of Usechain
usg | Latest price of USGold
uop | Latest price of Utopia Genesis Foundation
oot | Latest price of Utrum
utk | Latest price of UTRUST
utu | Latest price of UTU Coin
vai | Latest price of Vai
vld | Latest price of Vetri
vlx | Latest price of Vallix
vamp | Latest price of Vampire Protocol
vany | Latest price of Vanywhere
vprc | Latest price of VapersCoin
varius | Latest price of Varius
vbt | Latest price of VBT
vet | Latest price of VeChain
vxv | Latest price of Vectorspace AI
vega | Latest price of Vega Coin
veil | Latest price of VEIL
vls | Latest price of Veles
velo | Latest price of Velo
vena | Latest price of Vena Network
vnx | Latest price of Venox
xvs | Latest price of Venus
vltc | Latest price of Venus LTC
vra | Latest price of Verasity
xvg | Latest price of Verge
vbk | Latest price of VeriBlock
vrc | Latest price of VeriCoin
vdg | Latest price of VeriDocGlobal
veri | Latest price of Veritaseum
vrs | Latest price of Veros
vrx | Latest price of Verox
vtc | Latest price of Vertcoin
vrsc | Latest price of Verus Coin
vsp | Latest price of Vesper Finance
vest | Latest price of VestChain
vtho | Latest price of VeThor Token
vex | Latest price of Vexanium
via | Latest price of Viacoin
vibe | Latest price of VIBE
vib | Latest price of Viberate
vit | Latest price of Vice Industry Token
vn | Latest price of Vice Network
vi | Latest price of Vid
vidt | Latest price of VIDT Datalink
vid | Latest price of VideoCoin
vdl | Latest price of Vidulum
vidy | Latest price of VIDY
vidya | Latest price of Vidya
vig | Latest price of VIG
vinci | Latest price of Vinci
visio | Latest price of Visio
vsn | Latest price of Vision
visr | Latest price of Visor
vitae | Latest price of Vitae
vite | Latest price of Vite
vivid | Latest price of Vivid Coin
vivo | Latest price of VIVO
vndc | Latest price of VNDC
vdx | Latest price of Vodi X
voise | Latest price of VOISE
vtx | Latest price of Volentix
vollar | Latest price of V-Dimension
acdc | Latest price of Volt
vol | Latest price of Volume Network
vox | Latest price of Vox.Finance
vsl | Latest price of vSlice
vsx | Latest price of Vsync
vsys | Latest price of V.SYSTEMS
vybe | Latest price of Vybe
wabi | Latest price of Wabi
wgr | Latest price of Wagerr
waif | Latest price of Waifu Token
wtc | Latest price of Waltonchain
wan | Latest price of Wanchain
wand | Latest price of WandX
waves | Latest price of Waves
wct | Latest price of Waves Community Token
west | Latest price of Waves Enterprise
wgo | Latest price of WavesGo
waxp | Latest price of WAX
waxe | Latest price of WAXE
wicc | Latest price of WaykiChain
wgrt | Latest price of WaykiChain Governance Coin
wrx | Latest price of WazirX
mintme | Latest price of MintMe.com Coin
web | Latest price of Webcoin
wfx | Latest price of WebFlix
won | Latest price of WeBlock
well | Latest price of Wellness Token Economy
wtl | Latest price of Welltrado
wpr | Latest price of WePower
weth | Latest price of WETH
trst | Latest price of WeTrust
wgp | Latest price of W Green Pay
whale | Latest price of WHALE
whl | Latest price of WhaleRoom
wbt | Latest price of Whalesburg
when | Latest price of WHEN Token
whirl | Latest price of Whirl Finance
xwc | Latest price of Whitecoin
white | Latest price of Whiteheart
wrc | Latest price of WhiteRockCasino
wifi | Latest price of Wifi Coin
wiki | Latest price of Wiki Token
wbb | Latest price of Wild Beast Block
wild | Latest price of Wild Crypto
wcc | Latest price of Wincash Coin
lif | Latest price of Lif
wing | Latest price of Wing Finance
wings | Latest price of Wings
win | Latest price of WINk
wnrz | Latest price of WinPlay
wxt | Latest price of Wirex
wdc | Latest price of Wisdom Chain
wit | Latest price of WITChain
wix | Latest price of Wixlar
wows | Latest price of Wolves of Wall Street
women | Latest price of WomenCoin
wom | Latest price of WOM Protocol
log | Latest price of Woodcoin
woo | Latest price of Wootrade Network
world | Latest price of World Token
wozx | Latest price of Efforce
wpp | Latest price of WPP Token
wanatha | Latest price of Wrapped ANATHA
wbtc | Latest price of Wrapped Bitcoin
wmc | Latest price of Wrapped MarbleCards
mcat20 | Latest price of Wrapped Moon Cats
wnxm | Latest price of Wrapped NXM
woa | Latest price of Wrapped Origin Axie
x42 | Latest price of X42 Protocol
x8x | Latest price of X8X Token
xank | Latest price of Xank
xaur | Latest price of Xaurum
ix | Latest price of X-Block
xcash | Latest price of X-CASH
xco | Latest price of X-Coin
xfyi | Latest price of XCredit
xdc | Latest price of XDC Network
xdef2 | Latest price of Xdef Finance
xen | Latest price of Xenon
xnb | Latest price of Xeonbit
xns | Latest price of Xeonbit Token
xfund | Latest price of xFund
xgox | Latest price of XGOX
xio | Latest price of Blockzero Labs
xiot | Latest price of Xiotri
xmx | Latest price of XMax
xmon | Latest price of XMON
xov | Latest price of XOVBank
xp | Latest price of XP
xpo | Latest price of X-power Chain
xsc | Latest price of XsCoin
xsp | Latest price of XSwap
xby | Latest price of XTRABYTES
xyo | Latest price of XYO Network
yac | Latest price of YACoin
ykz | Latest price of Yakuza DFO
yam | Latest price of YAM
yamv2 | Latest price of YAM v2
yap | Latest price of Yap Stone
yax | Latest price of yAxis
yec | Latest price of Ycash
yf4 | Latest price of Yearn4 Finance
yfi | Latest price of yearn.finance
yfbt | Latest price of Yearn Finance Bit
yfn | Latest price of Yearn Finance Network
yland | Latest price of Yearn Land
ysec | Latest price of Yearn Secure
yee | Latest price of Yee
fam | Latest price of Yefam.Finance
yeld | Latest price of Yeld Finance
ytn | Latest price of YENTEN
yes | Latest price of YES
yfarm | Latest price of YFARM Token
yfbeta | Latest price of yfBeta
yfdai | Latest price of YfDAI.finance
yffc | Latest price of yffc.finance
yff | Latest price of YFF.Finance
yffi | Latest price of yffi finance
yffii | Latest price of YFFII Finance
yffs | Latest price of YFFS Finance
yfi3 | Latest price of YFI3.money
yfie | Latest price of YFIEXCHANGE.FINANCE
yfii | Latest price of DFI.money
yfim | Latest price of Yfi.mobi
yfo | Latest price of YFIONE
yfive | Latest price of YFIVE FINANCE
yfix | Latest price of YFIX.finance
yfl | Latest price of YF Link
yfos | Latest price of YFOS.finance
yfox | Latest price of YFOX Finance
yfpro | Latest price of YFPRO Finance
yfte | Latest price of YFTether
yeed | Latest price of Yggdrash
yld | Latest price of Yield
nyan | Latest price of YieldNyan Token
yop | Latest price of Yield Optimization Platform & Protocol
yield | Latest price of Yield Protocol
ymax | Latest price of YMAX
yo | Latest price of Yobit Token
yoc | Latest price of Yocoin
yta | Latest price of YottaChain
you | Latest price of YOU Chain
uc | Latest price of YouLive Coin
yoyow | Latest price of YOYOW
yrise | Latest price of yRise Finance
ysr | Latest price of Ystar
ycc | Latest price of Yuan Chain Coin
yui | Latest price of YUI Finance
yup | Latest price of Yup
yvs | Latest price of YVS Finance
yyfi | Latest price of YYFI.Protocol
zaif | Latest price of Zaif Token
zano | Latest price of Zano
zap | Latest price of Zap
zb | Latest price of ZB Token
zec | Latest price of Zcash
zcc | Latest price of ZcCoin
zcl | Latest price of Zclassic
firo | Latest price of Firo
zcr | Latest price of ZCore
nzl | Latest price of Zealium
zco | Latest price of Zebi
zfl | Latest price of Zuflo Coin
zdex | Latest price of Zeedex
zpt | Latest price of Zeepin
zeit | Latest price of Zeitcoin
zpae | Latest price of ZelaaPayAE
zel | Latest price of Zel
zlw | Latest price of Zelwin
znd | Latest price of Zenad
zen | Latest price of Horizen
zefu | Latest price of Zenfuse
znn | Latest price of Zenon
zp | Latest price of Zen Protocol
znz | Latest price of ZENZO
zeon | Latest price of ZEON Network
zer | Latest price of Zero
zero | Latest price of Zero Exchange
zee | Latest price of ZeroSwap
zut | Latest price of Zero Utility Token
zsc | Latest price of Zeusshield
zuc | Latest price of ZeuxCoin
zla | Latest price of Zilla
zil | Latest price of Zilliqa
zinc | Latest price of ZINC
zip | Latest price of Zipper Network
zipt | Latest price of Zippie
zks | Latest price of ZKSwap
zdr | Latest price of Zloadr
zlot | Latest price of zLOT
zmn | Latest price of ZMINE
zne | Latest price of Zonecoin
zpr | Latest price of ZPER
zrc | Latest price of ZrCoin
zt | Latest price of ZBG Token
zum | Latest price of ZumCoin
zusd | Latest price of ZUSD
zyn | Latest price of Zynecoin
zyro | Latest price of Zyro
zzz | Latest price of zzz.finance
cpp <Code> | C++ code block
cs <Code> | C-Sharp code block
java <Code> | Java code block
py <Code> | Python code block
js <Code> | JavaScript code block
lua <Code> | Lua code block
php <Code> | php code block
html <Code> | HTML code block
css <Code> | CSS code block
yaml <Code> | YAML code block
json <Code> | JSON code block
ini <Code> | INI code block
xml <Code> | XML code block
swift <Code> | Swift code block
sql <Code> | SQL code block
matlab <Code> | Matlab code block
bash <Code> | Bash code block
go <Code> | Go code block
http <Code> | HTTP code block
perl <Code> | Perl code block
rust <Code> | Rust code block
asciidoc <Code> | Asciidoc code block
ahk <Code> | Autohotkey code block
coffeescript <Code> | CoffeeScript code block
diff <Code> | Diff code block
fix <Code> | Fix code block
ml <Code> | ML code block
prolog <Code> | Prolog code block
xl <Code> | XL code block
ruby <Code> | Ruby code block
iptype <IP Address> | Displays whether the IP is bad and what type it is
ipresolve <IP Address> | Resolves an IP Address
portscan <IP Address> | Scans an IP Address for open ports
rdns <IP Address> | Scans for reverse DNS records
host2ip <Domain> | Shows IP of host
showping <IP Address> | Shows ping of an IP
ban <User> | Bans an user
softban <User> | Bans and unbans an user
hackban <User ID> | Bans an user outside of the server
unban <User ID> | Unban an user
kick <User> | Kicks an user
delinvites | Deletes all server invites
addemoji <Name> <URL> | Adds an emoji
editemoji <Emoji> <Name> | Renames the emoji
emojidelete <Emoji> | Deletes the emoji
lockchannel <Channel> | Locks a channel
unlockchannel <Channel> | Unocks a channel
slowmode <Seconds> | Set channel slowmode
pin <Channel> <Message ID> | Pin a message
unpin <Channel> <Message ID> | Unpin a message
semimute <User> | Delete every message a user sends
unsemimute <User> | Stop semi-mute for user
clearsemimute | Clear semi-mute list
nick <Member> <Nickname> | Set a nickname
crawl <URL> | Crawl a website
traceroute <IP> | Traceroute an IP 
httpheaders <IP> | Show HTTP headers
subnetcalc <Subnet> | Calculate a subnet mask
aslookup <ASN> | ASN Lookup
voice | Voice commands
vcdisconnectall <Voice Channel> | Disconnects all clients from a voice channel
vcdisconnect <Member> | Disconnects a client from a voice channel
vcmovespam <Amount> | Moves all clients a specific amount of times to random channels
vcdeafen <Member> | Deafens a member
vcmute <Member> | Mutes a member
vcundeafen <Member> | Undeafens a member
vcunmute <Member> | Unmutes a member
